id,date,text,source
2578,07.03.2025,"Добрый день
В понедельник лежа на диване, я наткнулся на рекламу Газпромбанка где накопительный счет 24%
Я сразу подумал, что скорее всего это обман, потому что везде много разных счетов с большими ставками, а на деле все хуже.
Ну я решил попробовать, для счета мне нужна была карта. Зашел на сайт смотрю есть доставка на дом, обрадовался, так как сидеть в офисе не особо хотелось. Заказал карту на дом, мне она на самом деле не нужна была, нужен был накопительный счет, хочу открыть его в ближайшее время, так как пока деньги в другом банке, 
7 марта утром курьер Н-ий.О.А связался со мной по доставке карты, я строго сказал, что смогу получить только после 18:00 хотя понимаю что диапазон до 18:00, но я на работе, огромное спасибо что данный человек пошел на уступок, просто нет времени, на что молодой человек по телефону сказал не переживайте доставлю когда вам удобно, привез карту, рассказал условия бесплатности, рассказал про подписку на карту. 
Я сначала не понял, зачем мне подписка, мне нужен счет!!! Но Олег курьер ваш меня проконсультировал по карте подписке и счету. Так то подписка хорошая вещь, и кешбек еще больше чем обычно и ставка выше. Но я ему сказал что мне важен счет . На что он сказал мне не торопиться с поспешными выводами. И начал ваш курьер мне рассказывать плюсы карты. 
У меня вообще зарплата на втб идет, но в втб я категории выбираю кешбека. А у вас оказывается 2% на абсолютно все. Естественннл я посоветовался с женой и подумал, 2 процента на все это круто. Недолго думая Олег уже начал рассказывать как перевести зарплату на ваш банк и помог сформировать реквизиты. Что хочу сказать с таким курьером вы точно приобретаете новых людей, потому что моя жена тоже уже готова перейти к вам с зарплатой. 
Накопительный счет действительно 24 процента, без какого обмана. Вообщем, Газпромбанк выражаю вам свою любовь по накопительному счету а также огромное человеческое с спасибо тебе Олег. Я сам по себе человек недоверчивый но ты нашел подход и ко мне и к супруге. 
Спасибо вам сердечное. Теперь всей семьей на вашем банке. Отзывы писать не люблю если честно,но данному сотруднику не жалко, так как доставляет после диапазона доставки, мало таких сотрудников.",Banki.ru
2579,07.03.2025,"Здравствуйте!
Я обратилась в банк через чат банка в соцсетях, так как я ехала в Армению и мне надо было уточнить вопросы оплаты. Я спросила, могу ли я платить своими картами ""Газпромбанка"" (в частности основной, по которой в основном покупки совершаю, выданной в Москве картой платежной системы ""Мир"") в Армении? И зависит ли это от города там? Например, если я плачу в Ереване или же в другом городе Армении. Также я спрашивала, можно ли в Москве где-то в банке ""Газпромбанк"" купить армянские деньги.
Банк ответил сразу мне, как только начался рабочий день. Сообщил мне, что по картам платежной системы ""Мир"" операции в Армении возможны только в тех устройствах, эквайером которых является Банк ""ВТБ"" (Армения). Но для уточнения эквайера надо обратиться в торговую точку.Насчёт покупки армянских денег в отделении банка в Москве банк сообщил, что они не работают с этой валютой.
Спасибо операторам за ответы, за информацию в них! Прикреплю скриншоты.",Banki.ru
2580,07.03.2025,"Здравствуйте!
Хочу поблагодарить банк, что они мне подсказывали, когда не могла понять, почему не закрывается накопительный счёт. 2  марта обратилась к ним с этой вот проблемой в чат. 4 раза приходил отказ в закрытии договора. У меня уточнили наименование операционной системы браузера. И зарегистрировали обращение. Я сообщила, что одинаково во всех браузерах. А раньше всегда закрывала нормально. Ещё мне сказали, что обращение можно составить по телефону. Я сказала, что это всё не варианты, так как мне надо было, чтобы открыть новый счёт сегодня, сегодня закрыть старый.
Я уточнила, не смогу ли я закрыть счёт через мобильное приложение.
Мне сказали, что я могу это попробовать. Если и так возникнет ошибка, написать им.
Но, как только я щашла в мобильное приложение, счётане увидела. Хотя больше я закрыть не нажимала. И тогда же он исчез и при заходе в браузере в личный кабинет.
Мне подсказали ещё, что можно получить справку о наличии банковского счёта и об остатках на счетах и вкладах в офисе банка. Комиссия за выдачу справки составит 400 рублей.
Также могу запросить по номерам телефонов горячей линии с доставкой Почтой РФ сводную выписку по всем счетам и вкладам.
Спасибо за помощь и консультацию!
Скриншоты переписки прикрепляю.",Banki.ru
2581,07.03.2025,"Хочу оставить положительный отзыв, Приехал хороший специалист Маргарита, очень доволен, подстроилась под время, приехала в удобное место, рассказала обо всех услугах, подключили привилегии, так как мне это показалось выгодным, всё понятно, в общем очень доволен обслуживанием, рассказала о выгодной акции кэшбэк 35%",Banki.ru
2582,09.03.2025,"Доброго времени суток! Я хочу узнать про повышенный кэшбек 35% новым клиентам.
Получила дебетовую карту 6.03.2025, активировала по банеру участие в акции, но кэшбек мне начисляется всё равно 2%.
Обращалась в чат три раза и там всё говорят, что я не являюсь участником акции. В чём проблема, никто не понимает.
Попросила оператора создать обращение (создали), но его рассмотрят только до 21 марта. До этого времени мне совершать покупки или нет, я без понятия и в чате на этот вопрос тоже не могут ответить.
Ещё такой интересный момент, что даже если вам будут начислять повышенный кэшбек 35%, то это нигде не отобразится (так мне ответили в чате). А хотелось бы видеть, начислили его или нет. Можно тоже это где-то узнать?
Пишу здесь, потому что хочу услышать ответ на свой вопрос побыстрее.",Banki.ru
2583,10.03.2025,"Оформил по ссылке 05.03.2025 карту, позвонили с утра 10.03.2025 в 9:20, молодой человек по имени Олег представился представителем Газпромбанка, вежливый,тактичный,уточнил время и место доставки, я с утра не мог, попросил ближе к вечеру,на что он сказал без проблем,буду когда вам удобно,за это большое спасибо, ближе к 15:00 Олег позвонил ещё раз,чтобы уже уточнить точное время для доставки,я сказал что в начале 17:00, подъехали ко мне в 16:35.
Встреча заняла немного, всего минут 15, пока я ознакамливался с документами Н. О.А рассказал мне про акцию 35% кэшбека на самое важное, так же я уточнил про накопительные счета так как для меня это важно, я в ближайшее время хочу открыть накопительный счёт под 24 процента, молодой человек мне объяснил все тонкости и отличия накопительный счетов от вкладов, за что емууэ отдельное спасибо,помог активировать карту.
Так же он мне рассказал про выгодную сотовую связь, на самом деле очень заинтересовало, так как я плачу за связь более 800 рублей за воздух, у вас очень выгодное предложение за 300 рублей, для меня 11 Гб интернета более чем достаточно и звонков хватит, хотел выразить представителю Н. О.А огромную благодарность за работу.",Banki.ru
2584,10.03.2025,"Оформила карту 05.03.2025 по ссылке друга, предложение очень было заманчивое по программе «пригласи друга», вот с утра в 9:30 мне позвонил представитель Газпромбанка,представился представителем банка, Олег по телефону был очень вежлив, уточнил время доставки и место, я сказала что мне без разницы можно ближе к вечеру, Н-ий О.А позвонил мне еще раз около 15:00 для уточнение времени, я сказала что остается все как есть, 
представитель приехал в 17:00, зашел молодой человек, мы прошли на кухню, я взяла документы и начала читать, молодой человек рассказал мне про тарифы сотовой связи, а так же про накопительным счетам, рассказал все подробно, со всеми тонкостями, редко увидишь таких компетентных сотрудников,  
так же задавала вопросы по карте, про подписку Газпром плюс, так как хотела ее потом отключить,но молодой человек так хорошо рассказал что я скорее всего даже ее оставлю, так как все таки повышенные переводы+снятия, да еще и уведомления бесплатные, встречей очень довольно, хотела сказать данному представителю Н-му О.А больше спасибо вам за работу.",Banki.ru
2585,10.03.2025,"Здравствуйте. 
Благодарю сотрудника Валентину В-ую, за то что согласилась привезти карту в позднее время, я попросил после 19 ч, так как работаю или попросил тогда встречу перенести или отменить. Валентина согласилась, привезла в договореннное время, около 19 часов  мы встретились, быстро подписали документы, Валентина рассказала про акцию кешбека, как сделать пин код и активировать карту, рассказала про счёт для накоплений, даже открыли. Уточнил у Валентины как отключать платные опции, Валентина рассказала, и предложила пока попользоваться, пока пробный период бесплатно, так и сделаю. 
Спасибо огромное Валентине что уделила личное время и быстро и подробно все объяснила.",Banki.ru
2586,12.03.2025,"Добрый день.
Являюсь клиентом Газпромбанка на протяжении длительного периода времени: открываю накопительные счета, пользуюсь дебетовой картой банка с начислением кэшбэка.
Периодически возникают разные вопросы относительно продуктов банка и приходится обращаться к сотрудникам за консультацией и разъяснениями.
Я выбрал для себя канал взаимодействия с банком - консультация в соц.сетях.
Хотел сказать, что служба поддержки работает хорошо, очень быстро дают ответы на поставленные вопросы. Никуда звонить не надо.
Обращался 19 января 2025 года в 10:04 за консультацией относительно лимитов по снятию наличных с дебетовой карты банка.
В 10:05 получил ответ от банка.
Сегодня 12 марта 2025 года возник вопрос по накопительному счету Простой процент.
Необходимо было узнать по поводу максимальной суммы, которую можно разместить на счету.
В соц.сетях, в службу поддержки банка написал обращение 12.03.2025 в 09:31. В 09:35 получил развернутый ответ.
Рекомендую, очень удобно.
Готов предоставить дополнительную информацию о взаимодействии со службой поддержки банка в соц.сетях.",Banki.ru
2587,12.03.2025,"Добрый день. Мною 7 марта 2025 года впервые была получена карта, в раках акции от Банки.ру. В отделении банка. После регистрации в мобильнщом предложении, стали поступать звонки с предложениями пр кредиту.
11.03.2025 в чат поддержки Банка, сотрудник Александра, помогла в решении вопроса.
Александра направила запрос, но уже с 12 числа перестали поступать звонки с предложениями.
Благодарю за оперативность.",Banki.ru
2588,12.03.2025,"Хотелось бы поблагодарить сотрудника банка, Г-ва Андрея!
Недавно мне довелось получить дебетовую карту Газпромбанка.
Я осталась очень довольна сервисом Газпромбанка, и в частности обслуживанием
Андрей рассказа про все подводные камни, сервис привелегий и про весь функционал банковской карты, никогда бы не подумала что существуют банки с такими огромными кешбеками.
В общем мне все очень понравилось, спасибо большое вам.",Banki.ru
2589,12.03.2025,"Представитель банка Юрий связался со мной, договорился о встрече намного раньше срока (как я того и хотел) который предложил мне сайт. Юрий приехал в назначенный срок, в назначенное место, все быстро объяснил, рассказал о преимуществах карты. Встреча прошла быстро, на легке. Спасибо Юрию за оперативность, гибкость и его профессионализм.",Banki.ru
2590,12.03.2025,"Здравствуйте! Заказала дебетовую карту в Газпромбанке через ссылку друга. Были обещаны бонус другу и мне за выполнение условий акции ""Приведи друга"". Я прошла по ссылке друга, оформила карту и в итоге ничего не было ни другу ни мне. Говорят, что моих действий по ссылке не зафиксировано...Я 1000% перешла по ссылке, так как по другому просто не знала как оформлять карту. Думаю, что у них мог произойти какой-то сбой, очень жаль и как-то обидно. Прикреплю скриншот переписки, где мне выслали эту ссылку в мессенджер.
А сегодня, спустя месяц, с моей карты списали 299 рублей за подписку ""Газпромбанк привелегии"", на которую я не давала согласия и никто меня не спрашивал нужна ли мне эта подписка...Тоже неприятная ситуация, я тут же отключила эти привелегии, но денег уже не вернуть.",Banki.ru
2591,12.03.2025,"Спасибо девушке представителю банка Валентине В-кой за доставку карты вечером после 18 часов. 
Заказал карту чтобы привезли на дом на 14 марта. А сегодня позвонила Валентина и предложила привезти карту раньше, я с радостью согласился, только попросил привезти вечером после 18 часов. Карту получил, Валентина привезла как и обещала по адресу в договорённое время. Рассказала на встрече про карту, обслуживание, акции кешбнки, накопительный счёт, даже симку предложила, пока заказал как запасную пользоваться если и буду то позже открою накопительный счёт. 
Меня интересовало чтобы карта была бесплатной, так как не знаю буду ли пользоваться ей. Валентина рассказала про смс платные со второго месяца где их отключить если не буду ими пользоваться и рассказала про дополнительную функцию платную тоже месяц бесплатно банк подключил, вроде привелегии они правильно называются , рассказала про них. Всё быстро и доступно рассказала, встречей доволен, всё понравилось)",Banki.ru
2592,13.03.2025,"Добрый день! Заказала карту на сайте банка) . В день встречи со мной связался представитель банка и назначил времня встречи. Попросила девушку подняться, так как дома находилась с ребенком. приехала приятная девушка Элина, помогла установитб приложение и рассказала про акции банка. Встречей очень довольна!!!",Banki.ru
2593,14.03.2025,"Хочу выразить благодарность за консультацию в социальной сети сотрудника Газпромбанка. 12.03.2025 в 23:06 обратилась с вопросом касаемо накопительного счета. Меня интересовал вопрос для всех ли клиентов действует ставка 24%.
Ответ на свой вопрос получила уже через 2 минуты! Далее задала вопрос с какой даты будет действовать повышенная ставка. Сотрудник все объяснил и даже привел пример на моей дате.
Четко, быстро, понятно!
Не думала, что обратившись в группе ВКонтакте, мне окажут такую консультацию. Спасибо большое за оперативность.
Являюсь клиентом Газпромбанка давно и как оказалось не зря!",Banki.ru
2594,16.03.2025,"Получал карту газпром банка месяц назад, в день получения расспросил у сотрудника о стоимости обслуживания и смс уведомлений, попросил все отключить. Как мне помнится вроде все отключили, и смс уведомления, и Газпром привелегии ( о какотрых пойдет речь). 
Через месяц я заметил списание 299 р. за газпром привелегии. Позвонил в поддержку (кстати единственная поддержка в моем опыте, которая сама сбросила звонок), оказалось что сотрудник не мог бы отключить мне эти привелегии т к карта была ещё не активна и скорее всего я что то перепутал. Хотя я помнил что их отключал. 
Решил зайти отключить хоть сейчас их и понял в чем была ловушка (или плохая работа приложения?). Оказывается что когда ты заходишь в приложение Газпром банка, открываешь привилегии и нажимаешь на ""отключить автопродление"", то тебе их не отключают, а перекидывают в чат. Там нужно после нескольких сообщений с рекламой, несколько раз подтвердить отключение в отдельном окошке. 
Только прикол в том , что мне они прихошли не сразу, а когда я не захотел ждать и свернул или закрыл приложение. А если ты закроешь приложение, то окошко с подтверждением пропадет, и кнопка отключения автопродления тоже пропадет! Т. е. я нажал на отключение автопродление в приложении, мне не пришло подтверждение, я закрыл приложение, думая что его отключил, и потом видя в приложении, что кнопка отключить автопродление пропала, лишь убеждался, что  все сделал верно. 
В общем то ли приложение сделано так чтобы вводить в заблуждение, то ли просто плохо сделано.",Banki.ru
